name;id;data
Afghanistan;AFG;10720332
Africa;;1434872613
Albania;ALB;5579015
Algeria;DZA;171707041
Andorra;AND;470495
Angola;AGO;38020297
Anguilla;AIA;143293
Antigua and Barbuda;ATG;492341
Argentina;ARG;178939546
Armenia;ARM;6005927
Aruba;ABW;918546
Asia;;20241964120
Asia (excl. China & India);;7450834199
Australia;AUS;411015667
Austria;AUT;68495143
Azerbaijan;AZE;39820063
Bahamas;BHS;1979149
Bahrain;BHR;34354328
Bangladesh;BGD;102161676
Barbados;BRB;1186602
Belarus;BLR;62483877
Belgium;BEL;99708878
Belize;BLZ;632797
Benin;BEN;7998145
Bermuda;BMU;631960
Bhutan;BTN;1706825
Bolivia;BOL;22574851
Bonaire Sint Eustatius and Saba;BES;334351
Bosnia and Herzegovina;BIH;26621092
Botswana;BWA;6316388
Brazil;BRA;465715770
British Virgin Islands;VGB;169012
Brunei;BRN;9088688
Bulgaria;BGR;42006473
Burkina Faso;BFA;4301291
Burundi;BDI;579786
Cambodia;KHM;16026972
Cameroon;CMR;7592750
Canada;CAN;576650511
Cape Verde;CPV;633890
Central African Republic;CAF;307653
Chad;TCD;1030268
Chile;CHL;84266622
China;CHN;10174681100
Colombia;COL;102202444
Comoros;COM;253114
Congo;COG;3456980
Cook Islands;COK;77460
Costa Rica;CRI;8507521
Croatia;HRV;17882170
Cuba;CUB;25988450
Cyprus;CYP;7315731
Czechia;CZE;101009765
Democratic Republic of Congo;COD;2282718
Denmark;DNK;32075494
Djibouti;DJI;399373
Dominica;DMA;161664
Dominican Republic;DOM;27378802
EU-27;;2916906140
EU-28;;3286784536
Ecuador;ECU;40540282
Egypt;EGY;246642918
El Salvador;SLV;6207296
Equatorial Guinea;GNQ;5633778
Eritrea;ERI;727233
Estonia;EST;13888373
Eswatini;SWZ;973848
Ethiopia;ETH;1,63E+16
Europe;;5448708693
Europe (excl. EU-27);;2540064891
Europe (excl. EU-28);;2170186495
Faeroe Islands;FRO;715004
Fiji;FJI;2257134
Finland;FIN;41652603
France;FRA;323747139
French Polynesia;PYF;831677
Gabon;GAB;4704935
Gambia;GMB;585713
Georgia;GEO;10286677
Germany;DEU;701955108
Ghana;GHA;14959912
Greece;GRC;67183971
Greenland;GRL;518656
Grenada;GRD;287951
Guatemala;GTM;20513439
Guinea;GIN;3153404
Guinea-Bissau;GNB;320957
Guyana;GUY;2390398
Haiti;HTI;3280850
Honduras;HND;10928412
Hong Kong;HKG;41536352
Hungary;HUN;49101007
Iceland;ISL;3321657
India;IND;2616448820
Indonesia;IDN;617512648
International transport;;1261776534
Iran;IRN;779526533
Iraq;IRQ;221383949
Ireland;IRL;37117688
Israel;ISR;6,42E+15
Italy;ITA;337086213
Jamaica;JAM;8014192
Japan;JPN;1106664426
Jordan;JOR;26071583
Kazakhstan;KAZ;313797848
Kenya;KEN;17315266
Kiribati;KIR;73383
Kosovo;OWID_KOS;9741437
Kuwait;KWT;107532047
Kyrgyzstan;KGZ;11482589
Laos;LAO;3,28E+16
Latvia;LVA;8262338
